accession,full_sequence_hmm_results,PF00154_custom_hmm_results,PF00154_hmm_results,PF21134_custom_hmm_results,PF21134_hmm_results
DAK95328,0,0,0,0,0
DAK95292,0,0,0,0,0
DAK95178,0,0,0,0,0
DAK93268,0,0,0,0,0
DAK92632,0,0,0,0,0
DAK91623,0,0,0,0,0
DAK91452,0,0,0,0,0
DAK91444,0,0,0,0,0
DAK89547,1,1,1,0,0
DAK89018,1,1,1,0,0
DAK88830,0,0,0,0,0
DAK88264,0,0,0,0,0
DAK87258,0,0,0,0,0
DAK86258,1,1,1,0,0
DAK85537,0,0,0,0,0
DAK83246,0,0,0,0,0
DAK82581,0,0,0,0,0
DAK82368,1,1,1,0,0
DAK81985,0,0,0,0,0
DAK81609,0,0,0,0,0
DAK81325,0,0,0,0,0
DAK81049,0,0,0,0,0
DAK80845,0,0,0,0,0
DAK80671,0,0,0,0,0
DAK79779,0,0,0,0,0
DAK79492,0,0,1,0,0
DAK79378,0,0,0,0,0
DAK79344,0,0,0,0,0
DAK78461,0,0,0,0,0
DAK77717,0,0,1,0,0
DAK77711,0,0,0,0,0
DAK77541,0,0,0,0,0
DAK77032,0,0,0,0,0
DAK75811,0,0,0,0,0
DAK75255,1,1,1,0,0
DAK75175,0,0,0,0,0
DAK75129,0,0,0,0,0
DAK75124,0,0,0,0,0
DAK74740,0,0,0,0,0
DAK73588,0,0,0,0,0
DAK73382,0,0,0,0,0
DAK73110,0,0,0,0,0
DAK72863,0,0,0,0,0
DAK71769,0,0,0,0,0
DAK71666,0,0,0,0,0
DAK71474,0,0,0,0,0
DAK70936,0,1,0,0,0
DAK70700,0,0,0,0,0
DAK70185,0,0,0,0,0
DAK68982,0,0,0,0,0
DAK68169,0,0,0,0,0
DAK67800,0,0,0,0,0
DAK67127,0,0,0,0,0
DAK66648,0,0,0,0,0
DAK66582,0,0,0,0,0
DAK65122,0,0,0,0,0
DAK64836,0,0,0,0,0
DAK63944,0,0,0,0,0
DAK63884,0,0,0,0,0
DAK63663,0,0,0,0,0
DAK62703,0,0,0,0,0
DAK60693,0,0,0,0,0
DAK60353,0,0,0,0,0
DAK60046,0,0,0,0,0
DAK59571,0,0,0,0,0
DAK59348,0,0,0,0,0
DAK58770,0,0,0,0,0
DAK56158,0,0,0,0,0
DAK55835,0,0,0,0,0
DAK55387,0,0,0,0,0
DAK55336,0,0,0,0,0
DAK54471,0,0,0,0,0
DAK53928,0,0,0,0,0
DAK53751,1,1,1,0,0
DAK53543,0,0,0,0,0
DAK53057,0,0,0,0,0
DAK52889,1,1,0,0,0
DAK52887,1,0,0,0,0
DAK52455,0,0,0,0,0
DAK52286,1,0,1,0,0
DAK52054,1,1,1,0,0
DAK51815,0,0,0,0,0
DAK51437,0,0,0,0,0
DAK50865,0,0,0,0,0
DAK50634,0,0,0,0,0
DAL64987,0,0,0,0,0
DAL64288,0,0,0,0,0
DAL63940,0,0,0,0,0
DAL63816,0,0,0,0,0
DAL63545,0,0,0,0,0
DAL63355,0,0,0,0,0
DAL62798,1,1,0,0,0
DAL62468,0,0,0,0,0
DAL62184,0,0,0,0,0
DAL61882,0,0,0,0,0
DAL61694,0,0,0,0,0
DAL61264,1,1,1,0,0
DAL61085,0,0,0,0,0
DAL60917,0,0,0,0,0
DAL60860,0,0,0,0,0
DAL60698,0,0,0,0,0
DAL60002,0,0,0,0,0
DAL59503,0,0,0,0,0
DAL59462,0,0,0,0,0
DAL58972,0,0,0,0,0
DAL58642,0,0,0,0,0
DAL58353,0,0,0,0,0
DAL58325,0,0,0,0,0
DAL57632,0,0,0,0,0
DAL57101,0,0,0,0,0
DAL56997,0,0,0,0,0
DAL56448,0,0,0,0,0
DAL55337,0,0,0,0,0
DAL54518,0,0,0,0,0
DAL54489,0,0,0,0,0
DAL54376,1,0,0,0,0
DAL54078,0,0,0,0,0
DAL53876,0,0,0,0,0
DAL53498,0,0,0,0,0
DAL52204,0,0,0,0,0
DAL51783,0,0,1,0,0
DAL51763,0,0,0,0,0
DAL51701,0,0,0,0,0
DAL51431,0,0,0,0,0
DAL51283,0,0,0,0,0
DAL50102,0,0,0,0,0
DAL49605,0,0,0,0,0
DAL49126,0,0,0,0,0
DAL48914,0,0,0,0,0
DAL48337,1,1,1,0,0
DAL48231,0,0,0,0,0
DAL48101,0,0,0,0,0
DAL46878,0,0,0,0,0
DAL46506,0,0,0,0,0
DAL45893,0,0,0,0,0
DAL44931,0,0,0,0,0
DAL44366,0,0,0,0,0
DAL43799,0,0,0,0,0
DAL42839,0,0,0,0,0
DAL41704,1,1,1,0,0
DAL41483,0,0,0,0,0
DAL41344,0,0,0,0,0
DAL40911,0,0,0,0,0
DAL40450,0,0,0,0,0
DAL40408,0,0,0,0,0
DAL40141,0,0,0,0,0
DAL39909,0,0,0,0,0
DAL38567,0,0,0,0,0
DAL37315,0,0,0,0,0
DAL36709,0,0,0,0,0
DAL35701,0,0,0,0,0
DAL35175,0,0,0,0,0
DAL34976,0,0,0,0,0
DAL34149,0,0,0,0,0
DAL33621,0,0,0,0,0
DAL33524,0,0,0,0,0
DAL33477,0,0,0,0,0
DAL33428,0,0,0,0,0
DAL33363,0,0,0,0,0
DAL33249,0,0,0,0,0
DAL32676,0,0,0,0,0
DAL32400,0,0,0,0,0
DAL31971,0,0,0,0,0
DAL31856,0,0,1,0,0
DAL31745,0,0,0,0,0
DAL29895,0,0,0,0,0
DAL28765,0,0,0,0,0
DAL28756,1,1,0,0,0
DAL28310,0,0,0,0,0
DAL28272,0,0,0,0,0
DAL27865,0,0,0,0,0
DAL27550,0,0,0,0,0
DAL27408,0,0,1,0,0
DAL27371,0,0,0,0,0
DAL26948,0,0,0,0,0
DAL26302,0,0,0,0,0
DAL25910,0,0,0,0,0
DAL25903,0,0,0,0,0
DAL25794,0,0,0,0,0
DAL25684,0,0,0,0,0
DAL23670,0,0,0,0,0
DAL23507,0,0,0,0,0
DAL23286,0,0,0,0,0
DAL23283,0,0,0,0,0
DAL22996,0,0,0,0,0
DAL22982,0,0,0,0,0
DAL22959,0,0,0,0,0
DAL22938,0,0,0,0,0
DAL22721,0,0,0,0,0
DAL21777,0,0,0,0,0
DAL21673,0,0,0,0,0
DAL21347,0,0,0,0,0
DAL21201,0,0,0,0,0
DAL19592,0,0,0,0,0
DAL19483,0,0,0,0,0
DAL19158,0,0,0,0,0
DAL19058,0,0,0,0,0
DAL18991,0,0,0,0,0
DAL18426,0,0,0,0,0
DAL18379,0,0,0,0,0
DAL17893,0,0,0,0,0
DAL17514,0,0,0,0,0
DAL17318,0,0,0,0,0
DAL16914,1,1,1,0,0
DAL16489,0,0,0,0,0
DAL15329,0,0,0,0,0
DAL14873,1,1,0,0,0
DAL14772,0,0,0,0,0
DAL14443,0,0,0,0,0
DAL13941,0,0,0,0,0
DAL12669,0,0,0,0,0
DAL12170,0,0,0,0,0
DAL12008,0,0,0,0,0
DAL11929,0,0,0,0,0
DAL11161,0,0,0,0,0
DAL11122,0,0,0,0,0
DAL11006,0,0,0,0,0
DAL10387,0,0,0,0,0
DAL09954,0,0,0,0,0
DAL09884,0,0,0,0,0
DAL09279,0,0,0,0,0
DAL09040,0,0,0,0,0
DAK49711,0,0,0,0,0
DAK49512,0,0,0,0,0
DAK49371,0,0,0,0,0
DAK49228,0,0,0,0,0
DAK49040,0,0,0,0,0
DAK48747,0,0,0,0,0
DAK48388,0,0,0,0,0
DAK47584,0,0,0,0,0
DAK47564,0,0,0,0,0
DAK47509,0,0,0,0,0
DAK46969,0,0,0,0,0
DAK46394,1,1,1,0,0
DAK46367,0,0,0,0,0
DAK46130,0,0,0,0,0
DAK46128,0,0,1,0,0
DAK46122,0,0,0,0,0
DAK44452,0,0,0,0,0
DAK44084,0,0,0,0,0
DAK44039,0,0,0,0,0
DAK43406,0,0,0,0,0
DAK43050,0,0,0,0,0
DAK42557,0,0,0,0,0
DAK42436,0,0,0,0,0
DAK42091,0,0,0,0,0
DAK41534,0,0,0,0,0
DAK41431,0,0,0,0,0
DAK41162,0,0,0,0,0
DAK40912,0,0,0,0,0
DAK40877,0,0,0,0,0
DAK40293,0,0,0,0,0
DAK39616,0,0,0,0,0
DAK39293,0,0,0,0,0
DAK39230,0,0,0,0,0
DAK38288,1,1,1,0,0
DAK38058,1,1,1,0,0
DAK38021,0,0,0,0,0
DAK37747,1,1,1,0,0
DAK36875,0,0,0,0,0
DAK36611,1,1,1,0,0
DAK35795,0,0,0,0,0
DAK35750,0,0,0,0,0
DAK35212,0,0,0,0,0
DAK34757,0,0,0,0,0
DAK32522,0,0,0,0,0
DAK32518,0,0,0,0,0
DAK32236,0,0,0,0,0
DAK31948,0,0,0,0,0
DAK31650,0,0,0,0,0
DAK31459,0,0,0,0,0
DAK30676,0,0,0,0,0
DAK30581,0,0,0,0,0
DAK30377,0,0,0,0,0
DAK30257,0,0,0,0,0
DAK29803,0,0,0,0,0
DAK29711,0,0,0,0,0
DAK29543,0,0,0,0,0
DAK29104,0,0,0,0,0
DAK28786,1,1,1,0,0
DAK27937,0,0,1,0,0
DAK27898,0,0,0,0,0
DAK27893,0,0,1,0,0
DAK27863,0,0,0,0,0
DAK27486,0,0,0,0,0
DAK27388,0,0,0,0,0
DAK26560,1,1,1,0,0
DAK26308,0,0,0,0,0
DAK26304,0,0,0,0,0
DAK25196,0,0,0,0,0
DAK24666,0,0,0,0,0
DAK24412,0,0,0,0,0
DAK24331,0,0,0,0,0
DAK24306,0,0,0,0,0
DAK24224,0,0,0,0,0
DAK22428,0,0,0,0,0
DAK22228,0,0,0,0,0
DAK21224,0,0,0,0,0
DAK21214,0,0,0,0,0
DAK21158,0,0,0,0,0
DAK21044,1,1,1,0,0
DAK20343,0,0,0,0,0
DAK20312,0,0,0,0,0
DAK19458,0,0,0,0,0
DAK19360,0,0,0,0,0
DAK19134,0,0,0,0,0
DAK18604,0,0,1,0,0
DAK18490,0,0,0,0,0
DAK17617,0,0,0,0,0
DAK16833,0,0,0,0,0
DAK15667,0,0,0,0,0
DAK15509,0,0,0,0,0
DAK14825,0,0,0,0,0
DAK13406,0,0,0,0,0
DAK12576,1,1,1,0,0
DAK12549,0,0,0,0,0
DAK12464,0,0,0,0,0
DAK12075,1,1,1,0,0
DAK11749,0,1,1,0,0
DAK11437,0,0,0,0,0
DAK11026,1,1,0,0,0
DAK09540,0,0,0,0,0
DAK09101,0,0,0,0,0
DAN23252,0,0,0,0,0
DAN22373,0,0,0,0,0
DAN22090,0,0,0,0,0
DAJ22426,1,1,1,0,0
DAJ22374,0,0,0,0,0
DAJ22322,0,0,0,0,0
DAJ21590,0,0,0,0,0
DAJ21286,0,0,0,0,0
DAJ20882,0,0,0,0,0
DAJ20812,0,0,0,0,0
DAJ20536,0,0,0,0,0
DAJ20327,0,0,0,0,0
DAJ20245,0,0,0,0,0
DAJ20203,0,0,0,0,0
DAJ19823,0,0,0,0,0
DAJ19013,0,0,0,0,0
DAJ18323,0,0,0,0,0
DAJ18179,0,0,0,0,0
DAJ16758,0,0,0,0,0
DAJ16754,0,0,0,0,0
DAJ16390,0,0,0,0,0
DAJ16358,0,0,0,0,0
DAJ15362,0,0,0,0,0
DAJ14601,0,0,0,0,0
DAJ13584,0,0,0,0,0
DAJ12964,1,1,1,0,0
DAN20479,0,0,0,0,0
DAN20220,0,0,0,0,0
DAN19591,0,0,0,0,0
DAN19586,0,0,0,0,0
DAN19043,0,0,0,0,0
DAN18973,0,0,0,0,0
DAN18184,0,0,0,0,0
DAJ12522,0,0,0,0,0
DAJ12283,0,0,0,0,0
QWO71657,0,0,0,0,0
DAG89461,1,1,1,0,0
DAG88644,0,0,0,0,0
DAI05993,0,0,0,0,0
DAI05813,1,1,1,0,0
DAI58526,0,0,0,0,0
DAH01591,0,0,0,0,0
DAH01396,0,0,0,0,0
DAG99720,0,0,0,0,0
DAG99433,0,0,0,0,0
DAG98782,0,0,1,0,0
DAG98389,0,0,0,0,0
DAG98344,0,0,0,0,0
DAG97918,1,1,1,0,0
DAG97648,1,1,1,0,0
DAG97638,0,0,0,0,0
DAG96525,1,1,1,0,0
DAG95161,1,1,1,0,0
DAG95013,0,0,0,0,0
DAG94761,0,0,0,0,0
DAG93985,0,0,0,0,0
DAG93854,0,0,0,0,0
DAG93360,0,0,0,0,0
DAG92971,1,1,1,0,0
DAG92838,0,0,0,0,0
DAG92286,1,1,1,0,0
DAG92047,0,0,0,0,0
DAG92044,1,1,1,0,0
DAG91874,0,0,0,0,0
DAF84087,0,0,0,0,0
DAF83153,0,0,0,0,0
DAF82025,0,0,0,0,0
DAF80171,0,0,0,0,0
DAF79075,0,0,0,0,0
DAF78920,0,0,0,0,0
DAF78897,0,1,1,0,0
DAF78537,0,0,0,0,0
DAF78222,0,0,0,0,0
DAF78201,0,0,0,0,0
DAF76922,0,0,0,0,0
DAF76706,0,0,0,0,0
DAF75708,0,0,0,0,0
DAF74507,0,0,0,0,0
DAF74462,0,0,0,0,0
DAF74378,0,0,0,0,0
DAF73699,0,0,0,0,0
DAF73348,0,0,0,0,0
DAF73290,0,0,0,0,0
DAF73215,0,0,0,0,0
DAF71718,0,0,0,0,0
DAF71545,0,0,0,0,0
DAF71510,0,0,0,0,0
DAF70562,0,0,0,0,0
DAF70101,0,0,0,0,0
DAF69894,0,0,0,0,0
DAF69842,0,0,0,0,0
DAF68999,0,0,0,0,0
DAF68735,0,0,0,0,0
DAF68334,0,0,0,0,0
DAF68279,0,0,0,0,0
DAF67078,0,0,0,0,0
DAF66997,0,0,0,0,0
DAF66483,1,1,1,0,0
DAF65638,0,0,0,0,0
DAG87564,0,0,0,0,0
DAG86611,0,0,0,0,0
DAG86261,0,0,0,0,0
DAG86088,0,0,0,0,0
DAG86084,0,0,0,0,0
DAG85871,0,0,0,0,0
DAG85265,0,0,0,0,0
DAG84177,0,0,0,0,0
DAG84095,0,0,0,0,0
DAG83958,0,0,0,0,0
DAG83879,0,0,0,0,0
DAG83463,0,0,0,0,0
DAG83275,0,0,0,0,0
DAG83141,0,0,0,0,0
DAG82712,0,0,0,0,0
DAG82710,0,0,0,0,0
DAG82580,0,0,0,0,0
DAG82349,0,0,0,0,0
DAG82057,0,0,0,0,0
DAG81139,0,0,0,0,0
DAG80877,0,0,0,0,0
DAG79936,0,0,0,0,0
DAG79774,0,0,0,0,0
DAG78978,0,0,0,0,0
DAG78883,0,0,0,0,0
DAG78744,0,0,0,0,0
DAG78535,1,1,1,0,0
DAG78418,0,0,0,0,0
DAG77727,1,1,1,0,0
DAG76697,0,0,0,0,0
DAG76213,0,0,0,0,0
DAG76152,0,0,0,0,0
DAG75805,0,0,0,0,0
DAG75722,0,0,0,0,0
DAG74809,1,1,1,0,0
DAG74737,0,0,0,0,0
DAG74310,0,0,0,0,0
DAG74013,0,0,0,0,0
DAG73492,0,0,0,0,0
DAG73060,1,1,1,0,0
DAG72710,0,0,0,0,0
DAG71060,0,0,0,0,0
DAG70574,0,0,0,0,0
DAG70569,0,0,0,0,0
DAG70466,0,0,0,0,0
DAG05845,0,0,0,0,0
DAG05769,0,0,0,0,0
DAG05733,0,0,0,0,0
DAG05158,0,0,0,0,0
DAG05048,0,0,0,0,0
DAG04961,0,0,0,0,0
DAG04172,0,0,0,0,0
DAG03405,1,1,1,0,0
DAG02998,0,0,0,0,0
DAG02720,0,0,0,0,0
DAG02268,0,0,0,0,0
DAG02007,0,0,0,0,0
DAG01500,0,0,0,0,0
DAG01212,0,0,0,0,0
DAG01015,0,0,0,0,0
DAG00880,0,0,0,0,0
DAG00531,1,1,1,0,0
DAG00367,1,1,1,0,0
DAG00365,0,0,0,0,0
DAF99986,0,0,0,0,0
DAF99504,0,0,0,0,0
DAF99102,1,1,1,0,0
DAF98573,0,0,0,0,0
DAF98381,0,0,0,0,0
DAF98366,0,0,0,0,0
DAF98264,1,1,1,1,0
DAF97704,1,1,1,0,0
DAF96774,0,0,0,0,0
DAH50385,1,1,1,0,0
DAH49573,0,0,0,0,0
DAH49357,0,0,0,0,0
DAH48723,0,0,0,0,0
DAH48704,0,0,0,0,0
DAH48324,0,0,0,0,0
DAH48080,0,0,0,0,0
DAH47890,0,0,1,0,0
DAH46821,0,0,0,0,0
DAH46439,0,0,0,0,0
DAH46022,0,0,0,0,0
DAH45732,0,0,0,0,0
DAH45548,1,1,1,0,0
DAH45486,0,0,0,0,0
DAH44164,1,0,1,0,0
DAH44056,0,0,0,0,0
DAH43562,0,0,0,0,0
DAH43281,0,0,0,0,0
DAH42434,0,0,0,0,0
DAH41786,0,0,0,0,0
DAH41571,0,0,0,0,0
DAH41265,0,0,0,0,0
DAH39847,0,0,0,0,0
DAH38274,0,0,0,0,0
DAH37986,0,0,0,0,0
DAH37853,0,0,0,0,0
DAH37260,0,0,0,0,0
DAH37258,0,0,0,0,0
DAH37119,0,0,0,0,0
DAH36224,0,0,0,0,0
DAH35763,0,0,0,0,0
DAH35612,0,0,0,0,0
DAH35371,1,1,1,0,0
DAH35029,0,0,0,0,0
DAH34785,0,0,0,0,0
DAH34474,0,0,0,0,0
DAH34417,0,0,0,0,0
DAH34024,0,0,0,0,0
DAH33747,0,0,0,0,0
DAH32657,0,0,0,0,0
DAH32447,0,0,0,0,0
DAH32319,0,0,0,0,0
DAH31751,0,0,0,0,0
DAH31134,0,0,0,0,0
DAH29969,0,0,0,0,0
DAH28575,0,0,0,0,0
DAH28380,0,0,0,0,0
DAH27643,0,0,0,0,0
DAH27608,0,0,0,0,0
DAH26853,0,0,0,0,0
DAH26272,0,0,0,0,0
DAH23649,0,0,0,0,0
DAH21873,1,1,0,0,0
DAH21627,0,0,0,0,0
DAH20994,1,1,1,0,0
DAH20741,0,0,0,0,0
DAH20614,0,0,0,0,0
DAH19964,0,0,0,0,0
DAH19904,0,0,0,0,0
DAH19395,0,0,0,0,0
DAH17476,0,0,0,0,0
DAH16790,0,0,0,0,0
DAH16787,0,0,0,0,0
DAH15920,0,0,0,0,0
DAH15075,0,0,0,0,0
DAH14760,0,0,0,0,0
DAH13103,0,0,0,0,0
DAH12431,0,0,0,0,0
DAH12399,0,0,0,0,0
DAH10593,0,0,0,0,0
DAH09707,0,0,0,0,0
DAH09225,0,0,0,0,0
DAJ11834,0,0,0,0,0
DAJ11774,0,0,0,0,0
DAJ11485,0,0,0,0,0
DAJ11107,0,0,0,0,0
DAJ11081,0,0,0,0,0
DAJ10820,0,0,0,0,0
DAJ10466,0,0,0,0,0
DAJ10114,0,0,0,0,0
DAJ10027,0,0,0,0,0
DAJ09852,0,0,0,0,0
DAJ09287,0,0,0,0,0
DAJ09105,0,0,0,0,0
DAJ08298,0,0,0,0,0
DAJ08247,0,0,0,0,0
DAJ07250,1,1,1,0,0
DAJ05689,0,0,0,0,0
DAJ04880,0,0,0,0,0
DAJ03825,0,0,0,0,0
DAJ02443,0,0,0,0,0
DAJ02351,0,0,0,0,0
DAJ02189,0,0,0,0,0
DAJ01604,0,0,0,0,0
DAJ01346,0,0,0,0,0
DAJ01189,0,0,0,0,0
DAJ00953,0,0,0,0,0
DAJ00692,0,0,0,0,0
DAJ00569,0,0,0,0,0
DAJ00551,0,0,0,0,0
DAJ00211,0,0,0,0,0
DAI99745,0,0,0,0,0
DAI99637,0,0,0,0,0
DAI99364,0,0,0,0,0
DAI99237,0,0,0,0,0
DAI98351,0,0,0,0,0
DAI97966,0,0,0,0,0
DAI97667,0,0,0,0,0
DAI96588,0,0,0,0,0
DAI96106,0,0,0,0,0
DAI95969,0,0,0,0,0
DAI95927,0,0,0,0,0
DAI94872,0,0,0,0,0
DAI94714,0,0,0,0,0
DAI94670,0,0,0,0,0
DAI94668,0,0,0,0,0
DAI94054,0,0,0,0,0
DAI92779,0,0,0,0,0
DAI92537,0,0,0,0,0
DAI92491,0,0,0,0,0
DAI91888,1,1,1,0,0
DAI91438,0,0,0,0,0
DAI90110,1,1,1,0,0
DAI89477,1,1,1,0,0
DAI89208,0,0,0,0,0
DAI89143,0,0,0,0,0
DAI88494,0,0,0,0,0
DAI88312,0,0,0,0,0
DAI88162,0,0,0,0,0
DAI88048,0,0,0,0,0
DAI87986,0,0,0,0,0
DAI87954,0,0,0,0,0
DAI87801,0,0,0,0,0
DAI87387,0,0,0,0,0
DAI86858,0,0,0,0,0
DAI85944,0,0,0,0,0
DAI84578,0,0,0,0,0
DAI84126,0,0,0,0,0
DAI83489,0,0,0,0,0
DAI83453,0,0,0,0,0
DAI83168,0,0,0,0,0
DAI82830,0,0,0,0,0
DAI82135,0,0,0,0,0
DAI81458,0,0,0,0,0
DAI81139,0,0,0,0,0
DAI81120,0,0,0,0,0
DAI80813,1,1,1,0,0
DAI80560,0,0,0,0,0
DAI80419,0,0,0,0,0
DAI77840,0,0,0,0,0
DAI77742,0,0,0,0,0
DAI77685,0,0,0,0,0
DAI77225,0,0,0,0,0
DAI77086,0,0,0,0,0
DAI76940,0,0,0,0,0
DAI76217,0,0,0,0,0
DAI75780,0,0,0,0,0
DAI75770,0,0,0,0,0
DAI75582,0,0,0,0,0
DAI75329,0,0,0,0,0
DAI75179,0,0,0,0,0
DAI74916,0,0,0,0,0
DAI74769,0,0,0,0,0
DAI74667,0,0,0,0,0
DAI73338,0,0,0,0,0
DAI73194,0,0,0,0,0
DAI73170,0,0,0,0,0
DAI71865,0,0,0,0,0
DAI71691,0,0,0,0,0
DAI71048,0,0,0,0,0
DAI70525,1,1,1,0,0
DAI70485,0,0,0,0,0
DAI70350,0,0,0,0,0
DAI70325,0,0,0,0,0
DAI70239,0,0,0,0,0
DAI69845,0,0,0,0,0
DAI69746,0,0,0,0,0
DAI69121,0,0,0,0,0
DAI69118,0,0,0,0,0
DAI69052,0,0,0,0,0
DAI69000,0,0,0,0,0
DAI68438,0,0,0,0,0
DAI67006,0,0,0,0,0
DAI66961,0,0,1,0,0
DAI66356,1,1,1,0,0
DAI65851,0,0,0,0,0
DAI65700,0,0,0,0,0
DAI64604,0,0,0,0,0
DAI64603,0,0,0,0,0
DAI63459,0,0,0,0,0
DAI63399,0,0,0,0,0
DAI63090,0,0,0,0,0
DAI61131,0,0,0,0,0
DAI60599,0,0,0,0,0
DAI60235,0,0,0,0,0
DAI59737,0,0,0,0,0
DAF94006,0,0,1,0,0
DAF93420,0,0,1,0,0
DAF93089,1,1,1,0,0
DAF92893,1,1,1,0,0
DAF92843,0,0,0,0,0
DAF92119,1,1,1,0,0
DAF91532,0,0,0,0,0
DAF91462,0,0,0,0,0
DAF91013,0,0,0,0,0
DAF89244,1,1,1,0,0
DAF88052,0,0,0,0,0
DAF88024,0,0,0,0,0
DAF87627,0,0,0,0,0
DAF87158,0,0,0,0,0
DAF87071,0,0,0,0,0
DAF86317,0,0,0,0,0
DAF85695,0,0,0,0,0
DAF85688,0,0,0,0,0
DAF85193,1,1,1,0,0
DAF85189,0,0,0,0,0
DAF84620,0,0,0,0,0
DAI04151,0,0,0,0,0
DAI03747,0,0,0,0,0
DAI03615,0,0,0,0,0
DAI02863,0,0,0,0,0
DAI01729,0,0,0,0,0
DAI01554,0,0,0,0,0
DAI01503,0,0,0,0,0
DAI01066,0,0,0,0,0
DAI00661,0,0,0,0,0
DAH98796,0,0,0,0,0
DAH98608,0,0,0,0,0
DAH98151,0,0,0,0,0
DAH97788,0,0,0,0,0
DAH97440,0,0,0,0,0
DAH96772,0,0,0,0,0
DAH96620,0,0,0,0,0
DAH96390,0,0,0,0,0
DAH96268,0,0,0,0,0
DAH95990,0,0,1,0,0
DAH95797,0,0,0,0,0
DAH95399,0,0,0,0,0
DAH95218,0,0,0,0,0
DAH94699,0,0,0,0,0
DAH93358,0,0,0,0,0
DAH93102,0,0,0,0,0
DAH91941,0,0,0,0,0
DAH90308,0,0,0,0,0
DAH90055,0,0,0,0,0
DAH89945,0,0,0,0,0
DAH89680,1,1,1,0,0
DAH89598,0,0,0,0,0
DAH89525,0,0,0,0,0
DAH89350,0,0,0,0,0
DAH89181,0,0,0,0,0
DAH88768,0,0,0,0,0
DAH88609,0,0,0,0,0
DAH88544,0,0,0,0,0
DAH87960,0,0,0,0,0
DAH87814,0,0,0,0,0
DAH87367,0,0,0,0,0
DAH87172,0,0,0,0,0
DAH87102,0,0,0,0,0
DAH86924,0,0,0,0,0
DAH86773,0,0,0,0,0
DAH86626,0,0,0,0,0
DAH86625,0,0,0,0,0
DAH85438,0,0,0,0,0
DAH85303,0,0,0,0,0
DAH85159,0,0,0,0,0
DAH84732,0,0,0,0,0
DAH84611,0,0,0,0,0
DAH84570,0,0,0,0,0
DAH84222,0,0,0,0,0
DAH84046,0,0,0,0,0
DAH84045,0,0,0,0,0
DAH83357,0,0,0,0,0
DAH83303,0,0,0,0,0
DAH80353,0,0,0,0,0
DAH79348,0,0,0,0,0
DAH78866,0,0,0,0,0
DAH77805,0,0,0,0,0
DAH77772,0,0,0,0,0
DAH77625,0,0,0,0,0
DAH77522,0,0,0,0,0
DAH76975,0,0,0,0,0
DAH76719,0,0,0,0,0
DAH76715,0,0,0,0,0
DAH76389,0,0,0,0,0
DAH76251,0,0,0,0,0
DAH75627,0,0,0,0,0
DAH74985,0,0,0,0,0
DAH73703,0,0,0,0,0
DAH73008,0,0,0,0,0
DAH72989,0,0,0,0,0
DAH70868,0,0,0,0,0
DAH70373,0,0,0,0,0
DAH70177,0,0,0,0,0
DAH69272,0,0,0,0,0
DAH69181,0,0,0,0,0
DAH68592,0,0,0,0,0
DAH68424,0,0,0,0,0
DAH67873,0,0,0,0,0
DAH67697,0,0,0,0,0
DAH67454,0,0,0,0,0
DAH66571,0,0,0,0,0
DAH65775,0,0,0,0,0
DAH65624,0,0,0,0,0
DAH65325,0,0,0,0,0
DAH65248,0,0,0,0,0
DAH64905,0,0,0,0,0
DAH64131,0,0,0,0,0
DAH63947,0,0,0,0,0
DAH63766,0,0,0,0,0
DAH63548,0,0,0,0,0
DAH63546,0,0,0,0,0
DAH63255,0,0,0,0,0
DAH62291,0,0,0,0,0
DAH60130,0,0,0,0,0
DAH59769,0,0,0,0,0
DAH59306,0,0,0,0,0
DAH58662,0,0,0,0,0
DAH58111,0,0,0,0,0
DAH57896,0,0,0,0,0
DAH57505,0,0,0,0,0
DAH57114,0,0,0,0,0
DAH56983,0,0,0,0,0
DAH56811,0,0,0,0,0
DAH56612,1,1,1,0,0
DAH55731,0,0,0,0,0
DAH55693,0,0,0,0,0
DAH55085,0,0,0,0,0
DAH54563,0,0,1,0,0
DAH54082,0,0,0,0,0
DAH53196,0,0,0,0,0
DAH53137,0,0,0,0,0
DAH52762,0,0,0,0,0
DAH51977,0,0,0,0,0
DAH51365,0,0,0,0,0
DAH51080,0,0,0,0,0
DAH08385,0,0,0,0,0
DAH07498,0,0,0,0,0
DAH07100,1,1,1,0,0
DAH06626,0,0,0,0,0
DAH05331,0,0,0,0,0
DAH04307,0,0,0,0,0
DAH04186,0,0,0,0,0
DAH04152,0,0,0,0,0
DAH03939,0,0,0,0,0
DAH03546,0,0,0,0,0
DAH02975,0,0,0,0,0
DAH02941,0,0,0,0,0
DAI58064,0,0,0,0,0
DAI57254,0,0,0,0,0
DAI56871,0,0,0,0,0
DAI55666,0,0,0,0,0
DAI54892,1,0,1,0,0
DAI54493,0,0,0,0,0
DAI54487,0,0,0,0,0
DAI53972,0,0,0,0,0
DAI52975,0,0,0,0,0
DAI52891,0,0,0,0,0
DAI52884,0,0,0,0,0
DAI52505,0,0,0,0,0
DAI52121,0,0,0,0,0
DAI52012,1,1,1,0,0
DAI51280,0,0,0,0,0
DAI50002,0,0,0,0,0
DAI49792,0,0,0,0,0
DAI49738,0,0,0,0,0
DAI49669,0,0,0,0,0
DAI49058,0,0,0,0,0
DAI48128,0,0,0,0,0
DAI48026,0,0,0,0,0
DAI47546,0,0,0,0,0
DAI46894,0,0,0,0,0
